Designator,Mid X,Mid Y,Layer,Rotation
BT1,-19.6mm,36.5mm,Bottom,270.0
C1,67.9mm,14.9mm,Top,180.0
C2,76.5mm,102.349999mm,Top,270.0
C3,62.0mm,25.5mm,Top,0.0
C4,114.0mm,16.0mm,Top,0.0
C5,119.0mm,16.0mm,Top,0.0
C6,84.5mm,102.349999mm,Top,270.0
C7,55.3mm,98.090001mm,Top,270.0
C8,82.5mm,102.349999mm,Top,270.0
C9,74.6mm,96.209999mm,Top,90.0
C10,80.5mm,102.35mm,Top,270.0
C11,74.5mm,99.290001mm,Top,90.0
C12,78.5mm,102.349999mm,Top,270.0
C13,84.5mm,98.85mm,Top,90.0
C14,55.3mm,102.290001mm,Top,270.0
C15,54.509999mm,94.290001mm,Top,0.0
C16,82.5mm,98.85mm,Top,90.0
C17,74.5mm,102.190001mm,Top,270.0
C18,80.5mm,98.85mm,Top,90.0
C19,98.0mm,19.0mm,Top,0.0
D1,108.950021mm,105.0mm,Top,180.0
D2,108.950021mm,99.5mm,Top,180.0
D3,144.0mm,9.0mm,Top,180.0
D4,40.939195mm,101.680049mm,Top,270.0
D5,84.5mm,114.6mm,Top,90.0
D6,28.0mm,88.0mm,Top,90.0
D7,30.0mm,88.0mm,Top,90.0
D8,32.0mm,88.0mm,Top,90.0
D9,34.0mm,88.0mm,Top,90.0
D10,83.5mm,111.5mm,Top,0.0
D11,108.950021mm,110.5mm,Top,180.0
D12,28.0mm,84.0mm,Top,90.0
D13,30.0mm,84.0mm,Top,90.0
D14,32.0mm,84.0mm,Top,90.0
D15,34.0mm,84.0mm,Top,90.0
D16,48.0mm,88.0mm,Top,90.0
D17,50.0mm,88.0mm,Top,90.0
D18,52.0mm,88.0mm,Top,90.0
D19,54.0mm,88.0mm,Top,90.0
D20,48.0mm,84.0mm,Top,90.0
D21,50.0mm,84.0mm,Top,90.0
D22,52.0mm,84.0mm,Top,90.0
D23,54.0mm,84.0mm,Top,90.0
D24,29.498502mm,21.412502mm,Top,180.0
D25,38.439195mm,101.680049mm,Top,270.0
D26,83.5mm,107.000001mm,Top,180.0
D27,83.5mm,109.0mm,Top,180.0
D28,144.0mm,11.0mm,Top,180.0
D29,143.999999mm,13.0mm,Top,180.0
D30,144.0mm,15.0mm,Top,180.0
D31,40.939195mm,106.680049mm,Top,90.0
D32,38.439195mm,106.680049mm,Top,90.0
D33,38.5mm,84.0mm,Top,90.0
D34,40.5mm,84.0mm,Top,90.0
D35,42.5mm,84.0mm,Top,90.0
D36,38.5mm,88.0mm,Top,90.0
D37,40.5mm,88.0mm,Top,90.0
D38,42.5mm,88.0mm,Top,90.0
D39,83.5mm,105.0mm,Top,180.0
D40,52.0mm,100.0mm,Top,90.0
D41,77.101499mm,98.487497mm,Top,0.0
F1,85.0mm,121.0mm,Top,270.0
F2,82.5mm,121.05mm,Top,270.0
F3,135.5mm,30.04mm,Top,270.0
F4,135.5mm,63.54mm,Top,270.0
F5,135.5mm,95.0mm,Top,270.0
F6,135.5mm,119.04mm,Top,270.0
G1,124.8mm,45.6mm,Top,0.0
G2,144.1mm,41.1mm,Top,270.0
G3,124.80535mm,54.307713mm,Top,0.0
G4,121.9mm,74.11mm,Top,90.0
G5,121.9mm,61.41mm,Top,90.0
G6,121.9mm,86.81mm,Top,90.0
G7,126.98mm,86.810001mm,Top,90.0
G8,126.98mm,61.409999mm,Top,90.0
G9,126.979999mm,74.11mm,Top,90.0
G10,121.9mm,99.51mm,Top,90.0
J3,71.88mm,6.5mm,Top,90.0
J25,106.0mm,15.0mm,Top,180.0
J39,88.725mm,20.3mm,Top,0.0
J40,44.25mm,21.5775mm,Top,270.0
P1,17.9125mm,131.0mm,Top,0.0
P2,77.0mm,109.2mm,Top,180.0
P3,74.4mm,105.4mm,Top,270.0
P4,51.5mm,111.8mm,Top,180.0
P5,51.5mm,116.1mm,Top,180.0
P6,49.0mm,104.8mm,Top,180.0
P7,59.0mm,116.1mm,Top,180.0
P8,49.0mm,109.2mm,Top,180.0
P9,38.0mm,112.1mm,Top,180.0
P10,27.5mm,105.0mm,Top,180.0
P11,66.5mm,116.1mm,Top,180.0
P12,41.5mm,119.2mm,Top,180.0
P13,35.5mm,119.0mm,Top,180.0
P14,79.5mm,123.505mm,Top,180.0
P15,74.5mm,123.5mm,Top,180.0
P16,71.5mm,123.5mm,Top,180.0
P17,54.0mm,123.5mm,Top,180.0
P18,41.5mm,123.5mm,Top,180.0
P19,38.5mm,123.5mm,Top,180.0
P20,35.5mm,123.5mm,Top,180.0
P21,30.5mm,123.5mm,Top,180.0
P22,27.5mm,123.5mm,Top,180.0
P23,128.5mm,115.0mm,Top,180.0
P24,122.5mm,119.5mm,Top,180.0
P25,116.5mm,124.0mm,Top,180.0
P26,119.5mm,124.0mm,Top,180.0
P27,113.5mm,119.5mm,Top,180.0
P28,110.5mm,119.5mm,Top,180.0
P29,110.5mm,124.0mm,Top,180.0
P30,98.5mm,114.0mm,Top,180.0
P31,95.5mm,112.5mm,Top,180.0
P32,131.5mm,119.5mm,Top,180.0
P33,128.5mm,119.5mm,Top,180.0
P34,125.5mm,119.5mm,Top,180.0
P35,119.5mm,119.5mm,Top,180.0
P36,107.5mm,124.0mm,Top,180.0
P37,104.5mm,128.5mm,Top,180.0
P38,101.5mm,116.5mm,Top,180.0
P39,90.0mm,110.5mm,Top,0.0
P40,131.5mm,124.0mm,Top,180.0
P41,128.5mm,124.0mm,Top,180.0
P42,125.5mm,124.0mm,Top,180.0
P43,122.5mm,124.0mm,Top,180.0
P44,119.5mm,128.5mm,Top,180.0
P45,116.5mm,128.5mm,Top,180.0
P46,113.5mm,124.0mm,Top,180.0
P47,107.5mm,128.5mm,Top,180.0
P48,101.5mm,121.0mm,Top,180.0
P49,95.5mm,124.0mm,Top,180.0
P50,131.5mm,128.5mm,Top,180.0
P51,128.5mm,128.5mm,Top,180.0
P52,125.5mm,128.5mm,Top,180.0
P53,122.5mm,128.5mm,Top,180.0
P54,113.5mm,128.5mm,Top,180.0
P55,110.5mm,128.5mm,Top,180.0
P56,136.0mm,20.0mm,Top,0.0
P57,130.0mm,17.5mm,Top,0.0
P58,133.0mm,15.5mm,Top,0.0
P59,136.0mm,15.5mm,Top,0.0
P60,67.0mm,65.5mm,Top,270.0
P61,43.5mm,74.5mm,Top,180.0
P62,27.5mm,63.0mm,Top,180.0
P63,27.5mm,67.5mm,Top,180.0
P64,27.5mm,72.0mm,Top,180.0
P65,27.5mm,76.5mm,Top,180.0
P66,46.5mm,74.5mm,Top,180.0
P67,64.0mm,67.0mm,Top,90.0
P68,67.0mm,68.5mm,Top,270.0
P69,64.0mm,61.0mm,Top,90.0
P70,52.5mm,74.5mm,Top,180.0
P71,64.0mm,64.0mm,Top,90.0
P72,49.5mm,74.5mm,Top,180.0
P73,79.5mm,82.1mm,Top,90.0
P74,84.0mm,82.0mm,Top,90.0
P75,87.0mm,82.0mm,Top,270.0
P76,87.5mm,64.0mm,Top,90.0
P77,90.5mm,64.0mm,Top,270.0
P78,103.5mm,64.0mm,Top,90.0
Q1,147.45mm,28.275mm,Top,180.0
Q2,147.374999mm,56.5mm,Top,180.0
Q3,147.374999mm,95.0mm,Top,180.0
Q4,147.374999mm,117.5mm,Top,180.0
R1,148.5mm,11.5mm,Top,90.0
R2,82.299999mm,115.5mm,Top,180.0
R3,87.5mm,114.7mm,Top,90.0
R4,87.5mm,121.595mm,Top,90.0
R5,112.950021mm,110.499999mm,Top,0.0
R6,31.0mm,80.5mm,Top,0.0
R7,51.0mm,80.0mm,Top,0.0
R8,79.5mm,117.7mm,Top,90.0
R9,66.5mm,110.3mm,Top,90.0
R10,59.0mm,110.4mm,Top,90.0
R11,56.5mm,121.6mm,Top,90.0
R12,46.5mm,107.8mm,Top,90.0
R13,112.95002mm,105.0mm,Top,0.0
R14,87.3mm,107.0mm,Top,0.0
R15,87.3mm,109.0mm,Top,0.0
R16,90.999999mm,107.0mm,Top,90.0
R17,41.5mm,113.4mm,Top,90.0
R18,35.5mm,106.3mm,Top,90.0
R19,33.0mm,100.9mm,Top,90.0
R20,30.5mm,110.6mm,Top,90.0
R21,30.5mm,117.5mm,Top,90.0
R22,77.0mm,114.7mm,Top,90.0
R23,74.5mm,110.8mm,Top,90.0
R24,71.5mm,110.8mm,Top,90.0
R25,69.0mm,114.7mm,Top,90.0
R26,64.0mm,114.7mm,Top,90.0
R27,64.0mm,121.6mm,Top,90.0
R28,54.0mm,110.8mm,Top,90.0
R29,43.5mm,107.8mm,Top,90.0
R30,35.5mm,113.2mm,Top,90.0
R31,33.0mm,107.8mm,Top,90.0
R32,77.0mm,121.6mm,Top,90.0
R33,74.5mm,117.7mm,Top,90.0
R34,71.5mm,117.7mm,Top,90.0
R35,61.5mm,114.7mm,Top,90.0
R36,59.0mm,121.6mm,Top,90.0
R37,54.0mm,117.7mm,Top,90.0
R38,51.5mm,121.6mm,Top,90.0
R39,49.0mm,114.7mm,Top,90.0
R40,46.5mm,114.7mm,Top,90.0
R41,44.0mm,114.7mm,Top,90.0
R42,38.4mm,117.5mm,Top,90.0
R43,33.0mm,114.7mm,Top,90.0
R44,27.5mm,110.5mm,Top,90.0
R45,27.5mm,117.5mm,Top,90.0
R46,69.0mm,121.6mm,Top,90.0
R47,66.5mm,121.6mm,Top,90.0
R48,61.5mm,121.6mm,Top,90.0
R49,56.5mm,114.650001mm,Top,90.0
R50,112.95002mm,99.5mm,Top,0.0
R51,49.0mm,121.6mm,Top,90.0
R52,46.5mm,121.6mm,Top,90.0
R53,44.0mm,121.6mm,Top,90.0
R54,33.0mm,121.595mm,Top,90.0
R55,95.5mm,118.0mm,Top,90.0
R56,98.5mm,126.5mm,Top,90.0
R57,90.7mm,121.595mm,Top,90.0
R58,101.5mm,126.5mm,Top,90.0
R59,98.5mm,119.5mm,Top,90.0
R60,92.5mm,114.595mm,Top,90.0
R61,154.075001mm,22.475001mm,Top,270.0
R62,154.0mm,50.7mm,Top,270.0
R63,154.0mm,89.200001mm,Top,270.0
R64,153.925mm,111.7mm,Top,270.0
R65,151.037501mm,18.775001mm,Top,180.0
R66,150.9625mm,47.000001mm,Top,180.0
R67,150.9625mm,85.500001mm,Top,180.0
R68,150.925mm,108.0mm,Top,180.0
R69,68.795186mm,109.367996mm,Top,270.0
R70,79.5mm,113.0mm,Top,0.0
R71,101.0mm,112.5mm,Top,270.0
R72,52.0mm,107.5mm,Top,90.0
R73,62.0mm,109.0mm,Top,90.0
R74,69.5mm,107.0mm,Top,0.0
R75,64.5mm,109.0mm,Top,90.0
R76,40.725mm,80.0mm,Top,0.0
R77,76.9mm,97.0mm,Top,180.0
R78,53.8mm,98.1mm,Top,270.0
R79,76.900001mm,95.4mm,Top,180.0
R80,87.299999mm,105.050002mm,Top,0.0
R81,54.5mm,95.7mm,Top,0.0
R82,52.2mm,96.486934mm,Top,90.0
S1,68.0mm,19.0mm,Top,0.0
S2,68.0mm,12.5mm,Top,0.0
U1,62.0mm,27.5mm,Top,270.0
U2,65.0mm,97.0mm,Top,0.0
U3,117.290001mm,12.0mm,Top,270.0
U4,97.5mm,21.5mm,Top,180.0
C226,81.782447mm,78.329681mm,Top,90.0
R211,84.082447mm,78.254681mm,Top,180.0
R205,84.207447mm,74.729681mm,Top,180.0
D205,83.932447mm,71.754681mm,Top,180.0
C223,81.757447mm,67.804681mm,Top,90.0
C222,82.857447mm,67.804681mm,Top,90.0
C221,83.957447mm,67.804681mm,Top,90.0
C220,85.057447mm,67.804681mm,Top,90.0
C228,108.507447mm,79.679681mm,Top,0.0
R216,86.407447mm,78.179681mm,Top,270.0
C224,81.782447mm,74.929681mm,Top,270.0
D206,109.682447mm,69.454681mm,Top,90.0
C225,110.382447mm,75.804681mm,Top,0.0
C219,99.357447mm,67.804681mm,Top,90.0
C218,100.457447mm,67.804681mm,Top,90.0
C217,101.557447mm,67.804681mm,Top,90.0
C216,102.657447mm,67.804681mm,Top,90.0
C215,103.757447mm,67.804681mm,Top,90.0
C214,104.857447mm,67.804681mm,Top,90.0
C213,105.957447mm,67.804681mm,Top,90.0
C212,107.057447mm,67.804681mm,Top,90.0
C211,94.957447mm,67.804681mm,Top,90.0
C210,96.057447mm,67.804681mm,Top,90.0
C209,97.157447mm,67.804681mm,Top,90.0
C208,98.257447mm,67.804681mm,Top,90.0
C203,86.157447mm,67.804681mm,Top,90.0
C202,87.257447mm,67.804681mm,Top,90.0
C201,88.357447mm,67.804681mm,Top,90.0
C229,108.032447mm,74.229681mm,Top,270.0
C227,107.232447mm,77.329681mm,Top,90.0
R215,110.182447mm,73.504681mm,Top,180.0
R213,110.182447mm,74.679681mm,Top,0.0
R214,110.432447mm,78.104681mm,Top,180.0
R212,110.432447mm,76.954681mm,Top,180.0
C200,89.457447mm,67.804681mm,Top,90.0
C204,93.857447mm,67.804681mm,Top,90.0
C205,92.757447mm,67.804681mm,Top,90.0
C206,91.657447mm,67.804681mm,Top,90.0
