Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,-19.600000mm,36.500000mm,Bottom,270.0,-19.600000mm,36.500000mm
C1,67.900000mm,14.900000mm,Top,180.0,67.900000mm,14.900000mm
C2,76.500000mm,102.349999mm,Top,-90.0,76.500000mm,102.349999mm
C3,62.000000mm,25.500000mm,Top,0.0,62.000000mm,25.500000mm
C4,114.000000mm,16.000000mm,Top,0.0,114.000000mm,16.000000mm
C5,119.000000mm,16.000000mm,Top,0.0,119.000000mm,16.000000mm
C6,84.500000mm,102.349999mm,Top,-90.0,84.500000mm,102.349999mm
C7,55.300000mm,98.090001mm,Top,-90.0,55.300000mm,98.090001mm
C8,82.500000mm,102.349999mm,Top,-90.0,82.500000mm,102.349999mm
C9,74.600000mm,96.209999mm,Top,90.0,74.600000mm,96.209999mm
C10,80.500000mm,102.350000mm,Top,-90.0,80.500000mm,102.350000mm
C11,74.500000mm,99.290001mm,Top,90.0,74.500000mm,99.290001mm
C12,78.500000mm,102.349999mm,Top,-90.0,78.500000mm,102.349999mm
C13,84.500000mm,98.850000mm,Top,90.0,84.500000mm,98.850000mm
C14,55.300000mm,102.290001mm,Top,-90.0,55.300000mm,102.290001mm
C15,54.509999mm,94.290001mm,Top,0.0,54.509999mm,94.290001mm
C16,82.500000mm,98.850000mm,Top,90.0,82.500000mm,98.850000mm
C17,74.500000mm,102.190001mm,Top,-90.0,74.500000mm,102.190001mm
C18,80.500000mm,98.850000mm,Top,90.0,80.500000mm,98.850000mm
C19,98.000000mm,19.000000mm,Top,0.0,98.000000mm,19.000000mm
D1,108.950021mm,105.000000mm,Top,180.0,108.950021mm,105.000000mm
D2,108.950021mm,99.500000mm,Top,180.0,108.950021mm,99.500000mm
D3,144.000000mm,9.000000mm,Top,180.0,144.000000mm,9.000000mm
D4,40.939195mm,101.680049mm,Top,-90.0,40.939195mm,101.680049mm
D5,84.500000mm,114.600000mm,Top,90.0,84.500000mm,114.600000mm
D6,28.000000mm,88.000000mm,Top,90.0,28.000000mm,88.000000mm
D7,30.000000mm,88.000000mm,Top,90.0,30.000000mm,88.000000mm
D8,32.000000mm,88.000000mm,Top,90.0,32.000000mm,88.000000mm
D9,34.000000mm,88.000000mm,Top,90.0,34.000000mm,88.000000mm
D10,83.500000mm,111.500000mm,Top,0.0,83.500000mm,111.500000mm
D11,108.950021mm,110.500000mm,Top,180.0,108.950021mm,110.500000mm
D12,28.000000mm,84.000000mm,Top,90.0,28.000000mm,84.000000mm
D13,30.000000mm,84.000000mm,Top,90.0,30.000000mm,84.000000mm
D14,32.000000mm,84.000000mm,Top,90.0,32.000000mm,84.000000mm
D15,34.000000mm,84.000000mm,Top,90.0,34.000000mm,84.000000mm
D16,48.000000mm,88.000000mm,Top,90.0,48.000000mm,88.000000mm
D17,50.000000mm,88.000000mm,Top,90.0,50.000000mm,88.000000mm
D18,52.000000mm,88.000000mm,Top,90.0,52.000000mm,88.000000mm
D19,54.000000mm,88.000000mm,Top,90.0,54.000000mm,88.000000mm
D20,48.000000mm,84.000000mm,Top,90.0,48.000000mm,84.000000mm
D21,50.000000mm,84.000000mm,Top,90.0,50.000000mm,84.000000mm
D22,52.000000mm,84.000000mm,Top,90.0,52.000000mm,84.000000mm
D23,54.000000mm,84.000000mm,Top,90.0,54.000000mm,84.000000mm
D24,29.498502mm,21.412502mm,Top,180.0,29.498502mm,21.412502mm
D25,38.439195mm,101.680049mm,Top,-90.0,38.439195mm,101.680049mm
D26,83.500000mm,107.000001mm,Top,180.0,83.500000mm,107.000001mm
D27,83.500000mm,109.000000mm,Top,180.0,83.500000mm,109.000000mm
D28,144.000000mm,11.000000mm,Top,180.0,144.000000mm,11.000000mm
D29,143.999999mm,13.000000mm,Top,180.0,143.999999mm,13.000000mm
D30,144.000000mm,15.000000mm,Top,180.0,144.000000mm,15.000000mm
D31,40.939195mm,106.680049mm,Top,90.0,40.939195mm,106.680049mm
D32,38.439195mm,106.680049mm,Top,90.0,38.439195mm,106.680049mm
D33,38.500000mm,84.000000mm,Top,90.0,38.500000mm,84.000000mm
D34,40.500000mm,84.000000mm,Top,90.0,40.500000mm,84.000000mm
D35,42.500000mm,84.000000mm,Top,90.0,42.500000mm,84.000000mm
D36,38.500000mm,88.000000mm,Top,90.0,38.500000mm,88.000000mm
D37,40.500000mm,88.000000mm,Top,90.0,40.500000mm,88.000000mm
D38,42.500000mm,88.000000mm,Top,90.0,42.500000mm,88.000000mm
D39,83.500000mm,105.000000mm,Top,180.0,83.500000mm,105.000000mm
D40,52.000000mm,100.000000mm,Top,90.0,52.000000mm,100.000000mm
D41,77.101499mm,98.487497mm,Top,0.0,77.101499mm,98.487497mm
F1,85.000000mm,121.000000mm,Top,-90.0,85.000000mm,121.000000mm
F2,82.500000mm,121.050000mm,Top,-90.0,82.500000mm,121.050000mm
F3,135.500000mm,30.040000mm,Top,-90.0,135.500000mm,30.040000mm
F4,135.500000mm,63.540000mm,Top,-90.0,135.500000mm,63.540000mm
F5,135.500000mm,95.000000mm,Top,-90.0,135.500000mm,95.000000mm
F6,135.500000mm,119.040000mm,Top,-90.0,135.500000mm,119.040000mm
G1,124.800000mm,45.600000mm,Top,0.0,124.800000mm,45.600000mm
G2,144.100000mm,41.100000mm,Top,-90.0,144.100000mm,41.100000mm
G3,124.805350mm,54.307713mm,Top,0.0,124.805350mm,54.307713mm
G4,121.900000mm,74.110000mm,Top,90.0,121.900000mm,74.110000mm
G5,121.900000mm,61.410000mm,Top,90.0,121.900000mm,61.410000mm
G6,121.900000mm,86.810000mm,Top,90.0,121.900000mm,86.810000mm
G7,126.980000mm,86.810001mm,Top,90.0,126.980000mm,86.810001mm
G8,126.980000mm,61.409999mm,Top,90.0,126.980000mm,61.409999mm
G9,126.979999mm,74.110000mm,Top,90.0,126.979999mm,74.110000mm
G10,121.900000mm,99.510000mm,Top,90.0,121.900000mm,99.510000mm
J3,71.880000mm,6.500000mm,Top,90.0,71.880000mm,6.500000mm
