Designator,Mid X,Mid Y,Layer,Rotation
BT1,144.5mm,37.0mm,Top,270.0
C1,67.9mm,14.9mm,Top,180.0
C2,67.5mm,110.7mm,Top,90.0
C3,91.1mm,17.899999mm,Top,0.0
C4,112.509999mm,16.609999mm,Top,90.0
C5,122.009999mm,16.609999mm,Top,90.0
C6,56.0mm,110.8mm,Top,90.0
C7,42.725mm,103.97mm,Top,90.0
C8,40.725mm,104.129999mm,Top,90.0
C9,97.625mm,112.05mm,Top,90.0
C10,95.625mm,112.209999mm,Top,90.0
C19,98.0mm,19.0mm,Top,0.0
D1,28.302882mm,46.867216mm,Top,180.0
D2,28.302882mm,38.867216mm,Top,180.0
D3,144.0mm,9.0mm,Top,180.0
D4,42.6mm,126.0mm,Top,180.0
D5,70.650002mm,93.0mm,Top,270.0
D6,28.0mm,88.0mm,Top,90.0
D7,30.0mm,88.0mm,Top,90.0
D8,32.0mm,88.0mm,Top,90.0
D9,34.0mm,88.0mm,Top,90.0
D10,68.650002mm,93.049979mm,Top,90.0
D11,28.302882mm,54.867216mm,Top,180.0
D12,28.0mm,84.0mm,Top,90.0
D13,30.0mm,84.0mm,Top,90.0
D14,32.0mm,84.0mm,Top,90.0
D15,34.0mm,84.0mm,Top,90.0
D16,48.0mm,88.0mm,Top,90.0
D17,50.0mm,88.0mm,Top,90.0
D18,52.0mm,88.0mm,Top,90.0
D19,54.0mm,88.0mm,Top,90.0
D20,48.0mm,84.0mm,Top,90.0
D21,50.0mm,84.0mm,Top,90.0
D22,52.0mm,84.0mm,Top,90.0
D23,54.0mm,84.0mm,Top,90.0
D24,135.5mm,23.0mm,Top,0.0
D25,33.15mm,126.0mm,Top,0.0
D26,58.150002mm,93.0mm,Top,90.0
D27,66.150002mm,93.0mm,Top,90.0
D28,144.0mm,11.0mm,Top,180.0
D29,143.999999mm,13.0mm,Top,180.0
D30,144.0mm,15.0mm,Top,180.0
D31,28.4mm,128.1mm,Top,180.0
D32,33.0mm,113.0mm,Top,270.0
D33,38.5mm,84.0mm,Top,90.0
D34,40.5mm,84.0mm,Top,90.0
D35,42.5mm,84.0mm,Top,90.0
D36,38.5mm,88.0mm,Top,90.0
