Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C1","C0603","C14663"
"1u","C2","C0603","C15849"
"100n","C3","C0603","C14663"
"10u","C4","C0603","C19702"
"100n","C5","C0603","C14663"
"1u","C6","C0603","C15849"
"10u","C7","C0805","C15850"
"100n","C8","C0603","C14663"
"10u","C9","C0805","C15850"
"100n","C10","C0603","C14663"
"100n","C19","C0603","C14663"
"LED-GREEN-0805","D1","LED-0805","C2297"
"LED-GREEN-0805","D2","LED-0805","C2297"
"LED-BLUE-0603","D3","LED-0603","C72041"
"B5819W","D4","D_SOD-123","C8598"
"1N4148WS","D5","SOD-323","C2128"
"LED-RED-0603","D6","LED-0603","C2286"
"LED-RED-0603","D7","LED-0603","C2286"
"LED-RED-0603","D8","LED-0603","C2286"
"LED-RED-0603","D9","LED-0603","C2286"
"LED-GREEN-0805","D10","LED-0805","C2297"
"LED-GREEN-0805","D11","LED-0805","C2297"
"1N4148WS","D12","SOD-323","C2128"
"1N4148WS","D13","SOD-323","C2128"
"1N4148WS","D14","SOD-323","C2128"
"1N4148WS","D15","SOD-323","C2128"
"LED-WHITE-0603","D16","LED-0603","C2290"
"LED-WHITE-0603","D17","LED-0603","C2290"
"LED-WHITE-0603","D18","LED-0603","C2290"
"LED-WHITE-0603","D19","LED-0603","C2290"
"1N4148WS","D20","SOD-323","C2128"
"1N4148WS","D21","SOD-323","C2128"
"1N4148WS","D22","SOD-323","C2128"
"1N4148WS","D23","SOD-323","C2128"
"1N4148WS","D24","SOD-323","C2128"
"B5819W","D25","D_SOD-123","C8598"
"LED-RED-0603","D26","LED-0603","C2286"
"LED-RED-0603","D27","LED-0603","C2286"
"LED-BLUE-0603","D28","LED-0603","C72041"
"LED-BLUE-0603","D29","LED-0603","C72041"
"LED-BLUE-0603","D30","LED-0603","C72041"
"B5819W","D31","D_SOD-123","C8598"
"B5819W","D32","D_SOD-123","C8598"
"1N4148WS","D33","SOD-323","C2128"
"1N4148WS","D34","SOD-323","C2128"
"1N4148WS","D35","SOD-323","C2128"
"LED-WHITE-0603","D36","LED-0603","C2290"
"LED-WHITE-0603","D37","LED-0603","C2290"
"LED-WHITE-0603","D38","LED-0603","C2290"
"LED-RED-0603","D39","LED-0603","C2286"
"1N4148WS","D40","SOD-323","C2128"
"1N4148WS","D41","SOD-323","C2128"
"B5819W","D42","D_SOD-123","C8598"
"B5819W","D43","D_SOD-123","C8598"
"1N4148WS","D44","SOD-323","C2128"
"B5819W","D45","D_SOD-123","C8598"
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","PAD-1206-PAD",""
"Fuse-16A","F3","36911600000","C354908"
"Fuse-16A","F4","36911600000","C354908"
"Fuse-16A","F5","36911600000","C354908"
"Fuse-16A","F6","36911600000","C354908"
"LOGO","G1","LOGO",""
"DISCLAIMER","G2","Off_Road_Disclaimer",""
"LOGO","G3","LOGO",""
"PROTO_AREA_2","G4","PROTO_AREA_2",""
"PROTO_AREA_2","G5","PROTO_AREA_2",""
"PROTO_AREA_2","G6","PROTO_AREA_2",""
"PROTO_AREA_2","G7","PROTO_AREA_2",""
"PROTO_AREA_2","G8","PROTO_AREA_2",""
"PROTO_AREA_2","G9","PROTO_AREA_2",""
"PROTO_AREA_2","G10","PROTO_AREA_2",""
"Conn_01x05_Male","J1","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",""
"Conn_02x06_Top_Bottom","J2","Molex_Mini-Fit_Jr_5566-12A_2x06_P4.20mm_Vertical","C239476"
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x01","J19","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J20","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J21","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J22","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J24","TestPoint_Pad_D2.0mm",""
"AudioJack3_SwitchTR","J25","Jack_3.5mm_PJ-3250-5A","C165947"
"Conn_01x04","J39","PinHeader_2x02_P2.54mm_Vertical",""
"USB_B","J40","USB_B_OST_USB-B1HSxx_Horizontal","C46392"
"Module:input/0.1","M1","input",""
"Module:ign8/0.2","M2","ign8",""
"Module:mcu144/0.6","M3","mcu",""
"Module:sd/0.1","M4","sd",""
"Module:output/0.3","M5","output",""
"Module:can/0.1","M6","can",""
"Module:stlink/0.1","M7","stlink",""
"Module:dinput4/0.1","M8","dinput4",""
"Module:knock/0.1","M9","knock",""
"Module:power12/0.2","M10","power12",""
"Module:power5/0.2","M11","power5",""
"Module:can/0.1","M13","can",""
"284617-1","P1","TE_284617-1",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
