Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100n","C1, C3, C5, C8, C10, C19, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C430, C431, C480, C481, C482, C470, C411, C413","C0603","C14663"
"1u","C2, C6","C0603","C15849"
"10u","C4","C0603","C19702"
"10u","C7, C9, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313","C0805","C15850"
"LED-GREEN-0805","D1, D2, D10, D11","LED-0805","C2297"
"LED-BLUE-0603","D3, D28, D29, D30","LED-0603","C72041"
"B5819W","D4, D25, D31, D32, D42, D43, D45, D300, D301, D302, D303, D480, D416, D417","SOD-123","C8598"
"1N4148WS","D5, D12, D13, D14, D15, D20, D21, D22, D23, D24, D33, D34, D35, D40, D41, D44, D410, D412, D413, D414","SOD-323","C2128"
"LED-RED-0603","D6, D7, D8, D9, D26, D27, D39","LED-0603","C2286"
"LED-WHITE-0603","D16, D17, D18, D19, D36, D37, D38","LED-0603","C2290"
"Fuse-16A","F3, F4, F5, F6","36911600000","C354908"
"Conn_02x06_Top_Bottom","J2","Molex_Mini-Fit_Jr_5566-12A_2x06_P4.20mm_Vertical","C239476"
"USB_B","J40","USB_B_OST_USB-B1HSxx_Horizontal","C46392"
"ISL9V3040D3S","Q1, Q2, Q3, Q4","DPAK","C462128"
"VND14NV04TR-E","Q5, Q6, Q10","DPAK","C155605"
"2N7002","Q7, Q8, Q9","SOT-23","C8545"
"470","R1","R0603-4","C25510"
"5.1k","R2, R50","R0603","C23186"
"Jumper-Pad-Pad","R3, R4, R8, R9, R12, R17, R22, R27, R28, R29, R30, R32, R34, R35, R36, R38, R39, R40, R42, R46, R47, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60","PAD-0805-PAD","C17477"
"100k","R5, R471, R473","R0603","C25803"
"10k","R6, R304, R305, R306","R0603-4","C29718"
"20k","R7, R16, R76","R0603-4","C12004"
"20k","R13","R0603","C4184"
"680k","R20, R21, R23, R24, R25, R26, R74, R75","R0603","C25822"
"10k","R31, R33, R37, R43, R44, R45, R300, R301, R307, R308, R315, R480","R0603","C25804"
"22","R61, R62, R63, R64","R0603","C23345"
"2.7k","R69, R70, R71","R0603","C13167"
"4.7k","R72, R73, R302, R303, R313","R0603","C23162"
"Button_SPST","S1, S2","SMD-2_2.9x3.9x1.7","C115357"
"LIS2DW12TR","U1","LGA-12_2x2mm_P0.5mm","C189624"
"TLS115_SOIC","U2","PG-DSO-8-43_VIA","C540242"
"MCP6002-xSN","U3","SO8","C7377"
"LPS25HB","U4","HLGA-10","C87898"
"1n","C200, C202, C203, C216, C217, C218, C219","C0603","C1588"
"10n","C201, C208, C209, C210, C211, C301, C302","C0603","C57112"
"2.2u","C227, C229","C0805","C49217"
"SRV05-4-P-T7","D200, D201, D202, D203, D204, D205","SOT23-6","C85364"
"P6SMB6.8CA","D206","SMB","C78395"
"4.7k","R200","R0603-4","C1980"
"680k","R209","R0603-4","C145776"
"10u","C300","C0603","C96446"
"PSM712-LF","D304, D305, D411","SOT-23","C32677"
"PJM2319PSA","Q300, Q301, Q302, Q303, Q304, Q313, Q314","SOT-23","C411720"
"0","R310","R0603","C21189"
"1k","R311, R314","R0603","C21190"
"100","R312, R316","R0805","C17408"
"ULN2003AD","U301, U304","SOIC16","C7512"
"TC4427","U302","SO8","C20551"
"120","R430","R0603","C22787"
"3.3n","C471","C0603","C1613"
"330p","C472","C0603","C1664"
"47p","C473","C0603","C1671"
"680p","C474","C0603","C1630"
"470k","R470","R0603","C23178"
"12k","R472","R0603","C22790"
"33k","R474, R411","R0603","C4216"
"LMV321IDBVR","U470, U471","SOT23-5","C7972"
"47u","C410, C412","C1206","C96123"
"SMCJ30A","D418","SMC","C310046"
"6.8k","R410, R413","R0603","C23212"
"MIC5205-3.3YM5","U410","SOT23-5","C37970"
"STM32F427ZGT6","U105","LQFP144","C117816"
"SC-20S,32.768kHz,20PPM,7pF","Y101","2012","C97602"
"LMR14030","U420","SOP8","C182078"
"MWSA0503S-100MT","L421","SMD-5.2x5.4x2.8","C408412"
"LBC3225T2R2MR","L420","1210","C223413"
"Fuse-5A-1206","F1","F1206","C553924"
"nSMD050-24V","F410, F300","F1206","C70076"
"NCV8440ASTT3G","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C604063"
"IFX9201SG","U6, U7","Infineon_PG-DSO-12-11","C112633"
"750","R133","R0603","C23241"
"620","R134","R0603","C23220"
"680k","R208, R206, R207, R205, R241, R240, R250, R251, R225","R0402","C163456"
"2.7k","R213, R211, R238, R239, R259","R0402","C25885"
"4.7k","R212, R210, R249, R260, R261, R262","R0402","C25900"
"10k","R235, R232, R233, R234, R248","R0402","C11616"
"10n","C228, C231, C232, C233","C0603","C15195"
