Comment,Designator,Footprint,LCSC Part #
"CR1220","BT1","CR1220-2","C70381"
"1N4148WS","D3","SOD-323","C2128"
"B5819W","D4","SOD-123","C8598"
"LED-RED-0603","D6","LED-0603","C2286"
"LED-RED-0603","D7","LED-0603","C2286"
"LED-RED-0603","D8","LED-0603","C2286"
"LED-RED-0603","D9","LED-0603","C2286"
"LED-WHITE-0603","D16","LED-0603","C2290"
"LED-WHITE-0603","D17","LED-0603","C2290"
"LED-WHITE-0603","D18","LED-0603","C2290"
"LED-WHITE-0603","D19","LED-0603","C2290"
"1N4148WS","D20","SOD-323","C2128"
"1N4148WS","D21","SOD-323","C2128"
"1N4148WS","D22","SOD-323","C2128"
"1N4148WS","D23","SOD-323","C2128"
"1N4148WS","D24","SOD-323","C2128"
"B5819W","D25","SOD-123","C8598"
"1N4148WS","D26","SOD-323","C2128"
"1N4148WS","D27","SOD-323","C2128"
"LED-WHITE-0603","D28","LED-0603","C2290"
"LED-WHITE-0603","D29","LED-0603","C2290"
"LED-WHITE-0603","D30","LED-0603","C2290"
"B5819W","D31","SOD-123","C8598"
"B5819W","D32","SOD-123","C8598"
"1N4148WS","D33","SOD-323","C2128"
"1N4148WS","D34","SOD-323","C2128"
"1N4148WS","D35","SOD-323","C2128"
"LED-WHITE-0603","D36","LED-0603","C2290"
"LED-WHITE-0603","D37","LED-0603","C2290"
"LED-WHITE-0603","D38","LED-0603","C2290"
"B5819W","D39","SOD-123","C8598"
"B5819W","D40","SOD-123","C8598"
"B5819W","D41","SOD-123","C8598"
"B5819W","D44","SOD-123","C8598"
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"Fuse-Pad-Pad","F2","PAD-1206-PAD",""
"LOGO","G1","rusefi_logo",""
"DISCLAIMER","G2","Off_Road_Disclaimer",""
"LOGO","G3","LOGO",""
"PROTO_AREA_2","G4","PROTO_AREA_2",""
"PROTO_AREA_2","G5","PROTO_AREA_2",""
"PROTO_AREA_2","G6","PROTO_AREA_2",""
"PROTO_AREA_2","G7","PROTO_AREA_2",""
"PROTO_AREA_2","G8","PROTO_AREA_2",""
"PROTO_AREA_2","G9","PROTO_AREA_2",""
"PROTO_AREA_2","G10","PROTO_AREA_2",""
"Conn_01x05_Male","J1","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",""
"39281123","J2","Molex_Mini-Fit_Jr_5566-12A_2x06_P4.20mm_Vertical","C293505"
"Conn_01x04","J3","PinHeader_2x02_P2.54mm_Vertical",""
"39281063","J4","Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical","C471417"
"Conn_01x01","J22","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J24","TestPoint_Pad_D2.0mm",""
"USB_B","J40","USB_B_OST_USB-B1HSxx_Horizontal","C46392"
"Module:mega-mcu144/0.6","M1","mega-mcu144",""
"Module:power_12and5V/0.2","M2","power_12and5V",""
"Module:wbo/0.5","M5","wbo",""
"Module:can/0.1","M6","can",""
"Module:knock/0.2","M9","knock",""
"284617-1","P1","TE_284617-1",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
"Pad","P31","PAD-TH",""
"Pad","P32","PAD-TH",""
"Pad","P33","PAD-TH",""
"Pad","P34","PAD-TH",""
"Pad","P35","PAD-TH",""
"Pad","P36","PAD-TH",""
"Pad","P37","PAD-TH",""
"Pad","P38","PAD-TH",""
