Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D1,59.595mm,61.325000mm,Bottom,90.0,59.595mm,61.325000mm
D2,62.095mm,61.325000mm,Bottom,90.0,62.095mm,61.325000mm
D5,65.595mm,61.325000mm,Bottom,90.0,65.595mm,61.325000mm
D10,68.095mm,61.325000mm,Bottom,90.0,68.095mm,61.325000mm
D39,41.59mm,61.325000mm,Bottom,90.0,41.59mm,61.325000mm
D40,44.09mm,61.325000mm,Bottom,90.0,44.09mm,61.325000mm
D41,35.59mm,61.325000mm,Bottom,90.0,35.59mm,61.325000mm
D44,38.09mm,61.325000mm,Bottom,90.0,38.09mm,61.325000mm
R2,59.595mm,57.175000mm,Bottom,-90.0,59.595mm,57.175000mm
R5,62.595mm,57.175000mm,Bottom,-90.0,62.595mm,57.175000mm
R13,65.595mm,57.175000mm,Bottom,-90.0,65.595mm,57.175000mm
R26,29.59mm,57.175000mm,Bottom,-90.0,29.59mm,57.175000mm
R31,32.59mm,57.175000mm,Bottom,-90.0,32.59mm,57.175000mm
R33,53.595mm,57.175000mm,Bottom,-90.0,53.595mm,57.175000mm
R37,56.595mm,57.175000mm,Bottom,-90.0,56.595mm,57.175000mm
R41,41.59mm,57.175000mm,Bottom,-90.0,41.59mm,57.175000mm
R42,44.59mm,57.175000mm,Bottom,-90.0,44.59mm,57.175000mm
R43,68.595mm,57.175000mm,Bottom,-90.0,68.595mm,57.175000mm
R44,64.095mm,57.175000mm,Bottom,-90.0,64.095mm,57.175000mm
R45,70.095mm,57.175000mm,Bottom,-90.0,70.095mm,57.175000mm
R48,35.59mm,57.175000mm,Bottom,-90.0,35.59mm,57.175000mm
R49,38.59mm,57.175000mm,Bottom,-90.0,38.59mm,57.175000mm
R50,61.095mm,57.175000mm,Bottom,-90.0,61.095mm,57.175000mm
R61,67.095mm,57.175000mm,Bottom,-90.0,67.095mm,57.175000mm
R69,34.09mm,57.175000mm,Bottom,-90.0,34.09mm,57.175000mm
R70,58.095mm,57.175000mm,Bottom,-90.0,58.095mm,57.175000mm
R71,31.09mm,57.175000mm,Bottom,-90.0,31.09mm,57.175000mm
R72,55.095mm,57.175000mm,Bottom,-90.0,55.095mm,57.175000mm
R73,46.09mm,57.175000mm,Bottom,-90.0,46.09mm,57.175000mm
R74,40.09mm,57.175000mm,Bottom,-90.0,40.09mm,57.175000mm
R75,43.09mm,57.175000mm,Bottom,-90.0,43.09mm,57.175000mm
R77,37.09mm,57.175000mm,Bottom,-90.0,37.09mm,57.175000mm
R78,47.595mm,57.175000mm,Bottom,-90.0,47.595mm,57.175000mm
R79,50.595mm,57.175000mm,Bottom,-90.0,50.595mm,57.175000mm
R80,52.095mm,57.175000mm,Bottom,-90.0,52.095mm,57.175000mm
R81,49.095mm,57.175000mm,Bottom,-90.0,49.095mm,57.175000mm
BT1,37.600000mm,47.100000mm,Top,180.0,37.600000mm,47.100000mm
D3,53.549998mm,73.900001mm,Top,90.0,53.549998mm,73.900001mm
D6,31.468984mm,77.900001mm,Top,90.0,31.468984mm,77.900001mm
D7,33.468984mm,77.900001mm,Top,90.0,33.468984mm,77.900001mm
D8,35.468984mm,77.900001mm,Top,90.0,35.468984mm,77.900001mm
D9,37.468984mm,77.900001mm,Top,90.0,37.468984mm,77.900001mm
D15,40.945000mm,104.125000mm,Top,-90.0,40.945000mm,104.125000mm
D16,45.449998mm,77.900001mm,Top,90.0,45.449998mm,77.900001mm
D17,47.449998mm,77.900001mm,Top,90.0,47.449998mm,77.900001mm
D18,51.449998mm,77.900001mm,Top,90.0,51.449998mm,77.900001mm
D19,49.449998mm,77.900001mm,Top,90.0,49.449998mm,77.900001mm
D20,45.449998mm,73.900001mm,Top,90.0,45.449998mm,73.900001mm
D21,47.449998mm,73.900001mm,Top,90.0,47.449998mm,73.900001mm
D22,51.500000mm,73.900001mm,Top,90.0,51.500000mm,73.900001mm
D23,49.449998mm,73.900001mm,Top,90.0,49.449998mm,73.900001mm
D24,51.100000mm,48.200000mm,Top,180.0,51.100000mm,48.200000mm
D26,55.487263mm,73.900001mm,Top,90.0,55.487263mm,73.900001mm
D27,57.412499mm,73.900002mm,Top,90.0,57.412499mm,73.900002mm
D28,53.449998mm,77.900001mm,Top,90.0,53.449998mm,77.900001mm
D29,55.431012mm,77.900001mm,Top,90.0,55.431012mm,77.900001mm
D30,57.399996mm,77.900002mm,Top,90.0,57.399996mm,77.900002mm
D33,39.449998mm,73.900001mm,Top,90.0,39.449998mm,73.900001mm
D34,41.449998mm,73.900001mm,Top,90.0,41.449998mm,73.900001mm
D35,43.449998mm,73.900001mm,Top,90.0,43.449998mm,73.900001mm
D36,39.449998mm,77.900001mm,Top,90.0,39.449998mm,77.900001mm
D37,41.449998mm,77.900001mm,Top,90.0,41.449998mm,77.900001mm
D38,43.449998mm,77.900001mm,Top,90.0,43.449998mm,77.900001mm
D42,43.595000mm,104.175000mm,Top,-90.0,43.595000mm,104.175000mm
F1,84.300000mm,121.050000mm,Top,-90.0,84.300000mm,121.050000mm
F2,82.000000mm,121.050000mm,Top,-90.0,82.000000mm,121.050000mm
G1,130.800000mm,17.200000mm,Top,0.0,130.800000mm,17.200000mm
G2,152.400000mm,104.500000mm,Top,90.0,152.400000mm,104.500000mm
G3,147.405350mm,14.407713mm,Top,0.0,147.405350mm,14.407713mm
G4,146.306545mm,24.944788mm,Top,90.0,146.306545mm,24.944788mm
G5,146.306545mm,37.644788mm,Top,90.0,146.306545mm,37.644788mm
G6,136.212813mm,24.944788mm,Top,90.0,136.212813mm,24.944788mm
G7,141.206545mm,24.944788mm,Top,90.0,141.206545mm,24.944788mm
G8,151.406545mm,37.644788mm,Top,90.0,151.406545mm,37.644788mm
G9,151.406545mm,24.944788mm,Top,90.0,151.406545mm,24.944788mm
G10,141.206545mm,37.644788mm,Top,90.0,141.206545mm,37.644788mm
J1,49.300000mm,21.800000mm,Top,-90.0,49.300000mm,21.800000mm
J2,63.700000mm,82.250000mm,Top,0.0,63.700000mm,82.250000mm
J3,99.275000mm,17.082843mm,Top,-90.0,99.275000mm,17.082843mm
J4,57.300000mm,27.600000mm,Top,90.0,57.300000mm,27.600000mm
J40,37.337501mm,20.584160mm,Top,-90.0,37.337501mm,20.584160mm
M1,114.592188mm,65.651268mm,Top,180.0,114.592188mm,65.651268mm
M2,61.350000mm,110.174999mm,Top,-90.0,61.350000mm,110.174999mm
M3,101.950000mm,113.500000mm,Top,-90.0,101.950000mm,113.500000mm
M4,26.525000mm,107.175000mm,Top,-90.0,26.525000mm,107.175000mm
M5,26.250000mm,24.900000mm,Top,0.0,26.250000mm,24.900000mm
