#CRANK AIN1: DOWN DNP 10n
R222,
R226,
C211,"10n","C0402","C15195"

#CAM AIN2: DOWN DNP 10n
R220,
R224,
C209,"10n","C0402","C15195"

#VSS NC: UP 4.7k 1n
R219,"4.7k","R0402","C25900"
R223,
C208,"1n","C0402","C1523"

#TPS TPS1: DOWN 680k 10n
R204,
R208,"680k","R0402","C163456"
C203,"10n","C0402","C15195"

#TPS2 TPS2: DOWN 680k 10n
R202,
R206,"680k","R0402","C163456"
C201,"10n","C0402","C15195"

#PPS PPS1: DOWN 680k 10n
R203,
R207,"680k","R0402","C163456"
C202,"10n","C0402","C15195"

#PPS2 PPS2: DOWN 680k 10n
R201,
R205,"680k","R0402","C163456"
C200,"10n","C0402","C15195"

#IAT IAT: UP 4.7k 10n
R213,"4.7k","R0402","C25900"
R217,
C207,"10n","C0402","C15195"

#AT1 TEMP: UP 4.7k 10n
R212,"4.7k","R0402","C25900"
R216,
C206,"10n","C0402","C15195"

#CLT CLT: UP 4.7k 10n
R211,"4.7k","R0402","C25900"
R215,
C205,"10n","C0402","C15195"

#AT2 OILT: UP 4.7k 10n
R210,"4.7k","R0402","C25900"
R214,
C204,"10n","C0402","C15195"

#O2S NC: DOWN 680k 10n
R238,
R242,"680k","R0402","C163456"
C217,"10n","C0402","C15195"

#O2S2 AIN3: DOWN DNP 10n
R239,
R243,
C218,"10n","C0402","C15195"

#RES1 AC_ON: DOWN 10k 100n
R237,
R241,"10k","R0402","C25744"
C216,"100n","C0402","C307331"

#RES2 CLUTCH: DOWN 680k 100n
R240,
R244,"680k","R0402","C163456"
C219,"100n","C0402","C307331"

#RES3 BRAKE: DOWN 680k 100n
R231,
R235,"680k","R0402","C163456"
C215,"100n","C0402","C307331"

#MAP1 MAP1: DOWN 680k 10n
R228,
R232,"680k","R0402","C163456"
C212,"10n","C0402","C15195"

#MAP2 MAP2: DOWN 680k 10n
R229,
R233,"680k","R0402","C163456"
C213,"10n","C0402","C15195"

#MAP3 AC_PRESSURE: DOWN 680k 10n
R230,
R234,"680k","R0402","C163456"
C214,"10n","C0402","C15195"

#AUX1 WBO: DOWN 680k 10n
R246,
R250,"680k","R0402","C163456"
C225,"10n","C0402","C15195"

#AUX2 NC: DOWN 680k 10n
R247,
R251,"680k","R0402","C163456"
C226,"10n","C0402","C15195"

#AUX3 WASTEGATE_POS: UP 10k 10n
R248,"10k","R0402","C25744"
R252,
C227,"10n","C0402","C15195"

#AUX4 VIA P73: DOWN 680k 10n
R249,
R253,"680k","R0402","C163456"
C228,"10n","C0402","C15195"

#SENS1 PS_SWITCH: UP 2.7k 10n
R259,"2.7k","R0402","C25885"
R263,
C230,"10n","C0402","C15195"

#SENS2 DIN1: UP DNP 1n
R260,
R264,
C231,"1n","C0402","C1523"

#SENS3 DIN2: UP DNP 1n
R261,
R265,
C232,"1n","C0402","C1523"

#SENS4 DIN3: UP DNP 1n
R262,
R266,
C233,"1n","C0402","C1523"

#KNOCK KNOCK: DOWN 680k 1n
R221,
R225,"680k","R0402","C163456"
C210,"1n","C0402","C1523"

#D1 CRANK: UP 4.7k 1n
R124,"4.7k","R0402","C25900"
R136,
C143,"1n","C0402","C1523"

#D2 CAM1: UP 4.7k 1n
R126,"4.7k","R0402","C25900"
R137,
C144,"1n","C0402","C1523"

#D3 CAM2: UP 4.7k 1n
R132,"4.7k","R0402","C25900"
R138,
C145,"1n","C0402","C1523"

#D4 VSS: UP 4.7k 1n
R135,"4.7k","R0402","C25900"
R139,
C146,"1n","C0402","C1523"

