Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BATTERY_CR2032","BatteryHolder_Keystone_1060_1x2032",144.500000,37.000000,90.000000,top
"C1","100n","C0603",67.900000,14.900000,180.000000,top
"C2","1u","C0603",67.500000,110.700000,90.000000,top
"C3","100n","C0603",91.100000,17.899999,0.000000,top
"C4","10u","C0603",112.509999,16.609999,90.000000,top
"C5","100n","C0603",122.009999,16.609999,90.000000,top
"C6","1u","C0603",56.000000,110.800000,90.000000,top
"C7","10u","C_0805_2012Metric",42.725000,103.970000,90.000000,top
"C8","100n","C0603",40.725000,104.129999,90.000000,top
"C9","10u","C_0805_2012Metric",97.625000,112.050000,90.000000,top
"C10","100n","C0603",95.625000,112.209999,90.000000,top
"C19","100n","C0603",98.000000,19.000000,0.000000,top
"D1","LED-GREEN-0805","LED-0805",28.302882,46.867216,180.000000,top
"D2","LED-GREEN-0805","LED-0805",28.302882,38.867216,180.000000,top
"D3","LED-BLUE-0603","LED-0603",144.000000,9.000000,180.000000,top
"D4","B5819W","D_SOD-123",42.600000,126.000000,180.000000,top
"D5","1N4148WS","SOD-323",70.650002,93.000000,-90.000000,top
"D6","LED-RED-0603","LED-0603",28.000000,88.000000,90.000000,top
"D7","LED-RED-0603","LED-0603",30.000000,88.000000,90.000000,top
"D8","LED-RED-0603","LED-0603",32.000000,88.000000,90.000000,top
"D9","LED-RED-0603","LED-0603",34.000000,88.000000,90.000000,top
"D10","LED-GREEN-0805","LED-0805",68.650002,93.049979,90.000000,top
"D11","LED-GREEN-0805","LED-0805",28.302882,54.867216,180.000000,top
"D12","1N4148WS","SOD-323",28.000000,84.000000,90.000000,top
"D13","1N4148WS","SOD-323",30.000000,84.000000,90.000000,top
"D14","1N4148WS","SOD-323",32.000000,84.000000,90.000000,top
"D15","1N4148WS","SOD-323",34.000000,84.000000,90.000000,top
"D16","LED-WHITE-0603","LED-0603",48.000000,88.000000,90.000000,top
"D17","LED-WHITE-0603","LED-0603",50.000000,88.000000,90.000000,top
"D18","LED-WHITE-0603","LED-0603",52.000000,88.000000,90.000000,top
"D19","LED-WHITE-0603","LED-0603",54.000000,88.000000,90.000000,top
"D20","1N4148WS","SOD-323",48.000000,84.000000,90.000000,top
"D21","1N4148WS","SOD-323",50.000000,84.000000,90.000000,top
"D22","1N4148WS","SOD-323",52.000000,84.000000,90.000000,top
"D23","1N4148WS","SOD-323",54.000000,84.000000,90.000000,top
"D24","1N4148WS","SOD-323",135.500000,23.000000,0.000000,top
"D25","B5819W","D_SOD-123",33.150000,126.000000,0.000000,top
"D26","LED-RED-0603","LED-0603",58.150002,93.000000,90.000000,top
"D27","LED-RED-0603","LED-0603",66.150002,93.000000,90.000000,top
"D28","LED-BLUE-0603","LED-0603",144.000000,11.000000,180.000000,top
"D29","LED-BLUE-0603","LED-0603",143.999999,13.000000,180.000000,top
"D30","LED-BLUE-0603","LED-0603",144.000000,15.000000,180.000000,top
"D31","B5819W","D_SOD-123",28.400000,128.100000,180.000000,top
"D32","B5819W","D_SOD-123",33.000000,113.000000,-90.000000,top
"D33","1N4148WS","SOD-323",38.500000,84.000000,90.000000,top
"D34","1N4148WS","SOD-323",40.500000,84.000000,90.000000,top
"D35","1N4148WS","SOD-323",42.500000,84.000000,90.000000,top
"D36","LED-WHITE-0603","LED-0603",38.500000,88.000000,90.000000,top
"D37","LED-WHITE-0603","LED-0603",40.500000,88.000000,90.000000,top
"D38","LED-WHITE-0603","LED-0603",42.500000,88.000000,90.000000,top
"D39","LED-RED-0603","LED-0603",62.100000,93.000000,90.000000,top
"D40","1N4148WS","SOD-323",56.150002,93.000000,-90.000000,top
"D41","1N4148WS","SOD-323",60.100000,93.000000,-90.000000,top
"D42","B5819W","D_SOD-123",134.200000,57.500000,90.000000,top
"D43","B5819W","D_SOD-123",134.200000,72.500000,90.000000,top
"D44","1N4148WS","SOD-323",64.150002,93.000000,-90.000000,top
"D45","B5819W","D_SOD-123",134.200000,65.000000,90.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",84.300000,121.000000,-90.000000,top
"F2","Fuse-Pad-Pad","PAD-1206-PAD",82.000000,121.000000,-90.000000,top
"F3","Fuse-16A","36911600000",135.500000,88.000000,-90.000000,top
"F4","Fuse-16A","36911600000",135.500000,100.000000,-90.000000,top
"F5","Fuse-16A","36911600000",135.500000,112.000000,-90.000000,top
"F6","Fuse-16A","36911600000",135.500000,124.000000,-90.000000,top
"G1","LOGO","LOGO",122.100000,43.700000,0.000000,top
"G2","DISCLAIMER","Off_Road_Disclaimer",157.500000,20.000000,0.000000,top
"G3","LOGO","LOGO",122.005350,53.107713,0.000000,top
"G4","PROTO_AREA_2","PROTO_AREA_2",121.900000,74.110000,90.000000,top
"G5","PROTO_AREA_2","PROTO_AREA_2",121.900000,61.410000,90.000000,top
"G6","PROTO_AREA_2","PROTO_AREA_2",121.900000,86.810000,90.000000,top
"G7","PROTO_AREA_2","PROTO_AREA_2",126.980000,86.810001,90.000000,top
"G8","PROTO_AREA_2","PROTO_AREA_2",126.980000,61.409999,90.000000,top
"G9","PROTO_AREA_2","PROTO_AREA_2",126.979999,74.110000,90.000000,top
"G10","PROTO_AREA_2","PROTO_AREA_2",121.900000,99.510000,90.000000,top
"J1","Conn_01x05_Male","JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical",30.500000,20.500000,-90.000000,top
"J2","Conn_02x06_Top_Bottom","Molex_Mini-Fit_Jr_5566-12A_2x06_P4.20mm_Vertical",72.200000,104.400000,0.000000,top
"J3","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",71.880000,6.500000,90.000000,top
"J25","AudioJack3_SwitchTR","Jack_3.5mm_PJ-3250-5A",106.000000,15.000000,180.000000,top
"J39","Conn_01x04","PinHeader_2x02_P2.54mm_Vertical",88.725000,15.220000,0.000000,top
"J40","USB_B","USB_B_OST_USB-B1HSxx_Horizontal",44.250000,21.577500,-90.000000,top
"M1","Module-input-0.1","input",111.882447,80.579681,180.000000,top
"M2","Module-ign8-0.2","ign8",138.811855,5.529889,90.000000,top
